QueryId;keywords;expected;targetUrl;rank
702860;head,lice,treatments;1;http://www.goodnessdirect.co.uk/;99
1200811;valley,center,ca;1;http://www.sandiegonorth.com/;98
2239163;buddhist,malas;1;http://www.kaylorimports.com/;98
9192829;truman,capote;1;http://www.global-investor.com/;97
12449141;grooms;1;http://www.hallmark.com/;97
3031810;michigan,used,parts;1;http://www.grandrapids.bbb.org/;96
1473454;dental,implants;1;http://www.azom.com/;95
71845;pressure,washing;1;http://www.bloomington.in.us/;95
1360175;affirmations;1;http://www.findthelight.net/;95
10846855;tv,frames;1;http://www.htmarket.com/;92
14878561;giving,head;1;http://www.babeland.com/;90
3289236;tropical,print,clothing;1;http://www.bluevelvetvintage.com/;90
5197517;kindness;1;http://www.photo.net/;89
2488131;passionate,sex;1;http://www.mypleasure.com/;88
9728892;black,kat;1;http://www.ps2now.com/;88
19421230;win,furniture;1;http://www.nzherald.co.nz/;87
7799022;band,jokes;1;http://www.calcb.org/;86
100986;jasper,white;1;http://www.panoramamagazine.com/;86
9140105;free,business,card,template;1;http://www.goodprint.co.uk/;85
3932506;free,gifs,backgrounds;1;http://www.christmas-graphics.com/;85
5286779;lv,purses;1;http://www.ec21.com/;84
17523441;wooden,ship,kits;1;http://www.hobbyworks.com/;84
2962619;pictures,interior,design;1;http://www.artsparx.com/;84
8237523;model,solar;1;http://www.nap.edu/;84
9473085;design,own,t-shirt;1;http://www.printingforless.com/;83
3416937;wooden,box,design;1;http://www.woodenwinebox.com/;83
7613820;mother,the,bride,dresses;1;http://www.therosedress.com/;81
2333855;slipcovers;1;http://www.realgoods.com/;81
14052511;tent,sales;1;http://asaprental.com/;80
4946531;san,manuel,casino;1;http://www.sbsun.com/;80
17808934;windows,product,key;1;http://www.download3k.com/;78
11678178;teasing,denial;1;http://www.calpernia.com/;77
1476917;priority,mail,service;1;http://www.wilsonweb.com/;76
1099195;laurie,anderson;1;http://www.amrep.org/;75
3728442;solder;1;http://www.azom.com/;75
23024929;free,pet,items;1;http://www.petsits.com/;75
847833;free,horror,movies,download;1;http://www.monsterzine.com/;74
759213;1953,ford;1;http://www.adclassix.com/;74
327581;rain,boots;1;http://www.sierratradingpost.com/;74
1014784;red,max;1;http://www.lawncafe.com/;74
3756107;williamsburg,hotel,association;1;http://www.historyisfun.org/;73
8006232;modern,platform,bed;1;http://www.aclickawayremotes.com/;72
1423805;sex,animals;1;http://www.therockalltimes.co.uk/;71
3717968;safety,topics;1;http://www.toolboxtopics.com/;71
168797;chinese,water,dragon;1;http://www.giveusahome.co.uk/;71
1193256;rev.,al,sharpton;1;http://www.uspoliticstoday.com/;70
10945454;orbitron;1;http://www.coasterforce.com/;70
84300;free,dvd,shrink;1;http://www.download3k.com/;69
9121290;play,houses;1;http://www.puppetrevelation.com/;67
2336659;mother,the,bride,dresses;1;http://www.houseofbrides.com/;67
197247;make,air,units;1;http://www.arcat.com/;67
7525574;vegetarian,meatloaf;1;http://www.gardenburger.com/;66
3621375;antichrist;1;http://www.armageddonbooks.com/;66
9918629;wrought,iron,gates;1;http://www.recyclingthepast.com/;65
963365;shingles,pregnancy;1;http://www.healthsquare.com/;63
3634841;video,upscaler;1;http://www.pixmania.co.uk/;63
513184;katharine,mcphee;1;http://www.curlio.com/;63
2780030;stamp,values;1;http://www.1000files.com/;63
4580669;culinary,school,vacations;1;http://www.alhambratravel.com/;62
1684036;furnace,parts;1;http://www.mge.com/;62
