QueryId;keywords;expected;targetUrl;nbKewords
17258710;page;6734;http://www.macworld.co.uk/;1
1580261;directory;6600;http://www.windowsnetworking.com/;1
3709781;internet;4088;http://www.iana.org/;1
1674093;organizations;3899;http://www.idealist.org/;1
4428406;science;3810;http://www.nap.edu/;1
16344279;design;3515;http://www.sonomaoutfitters.com/;1
2490745;software;3227;http://www.apache.org/;1
6991447;tools;3215;http://www.sealey-tools.co.uk/;1
6769438;accessories;3094;http://www.got2haveit.com/;1
3057749;garden;2938;http://www.gardenseeker.com/;1
611540;directories;2484;http://www.numberway.com/;1
3374532;company;2316;http://www.uncompany.com/;1
8013559;games;2225;http://www.justriddlesandmore.com/;1
10601794;video;2152;http://www.pixmania.co.uk/;1
388246;business,supplies;2099;http://www.iprint.com/;2
14479421;europe,travel;1667;http://europeforvisitors.com/;2
1528724;group;1634;http://www.colostate.edu/;1
10372773;local;1615;http://www.iatselocalone.org/;1
1376970;systems;1594;http://lowesrv.ca/;1
9371269;vacation;1589;http://www.rfamilyvacations.com/;1
7648598;pets;1567;http://www.multichannel.com/;1
4333027;kids;1547;http://www.kids.gov/;1
501938;computer;1524;http://www.daileyint.com/;1
1215094;photography;1519;http://www.photo.net/;1
11261553;diseases;1452;http://idinchildren.com/;1
5246251;web,design;1436;http://www.devshed.com/;2
10707471;family;1402;http://www.rfamilyvacations.com/;1
14624215;jobs;1255;http://www.internjobs.com/;1
3081984;tech;1254;http://www.latech.edu/;1
4921476;disorders;1247;http://www.ninds.nih.gov/;1
10607425;antiques;1222;http://www.antiquesandthearts.com/;1
6006265;radio;1189;http://www.arrl.org/;1
625723;home,goods;1187;http://www.sierratradingpost.com/;2
8888371;jersey;1095;http://www.thisisjersey.com/;1
19380126;movies;1075;http://www.sandrabullockcentral.com/;1
4207820;employment;1071;http://www.pseg.com/;1
22661144;cars;1066;http://www.crazyapplerumors.com/;1
663153;healthcare;1051;http://www.ascensionhealth.org/;1
5352481;beach;1030;http://www.siestakeybeachplace.com/;1
1282663;christian;995;http://www.taize.fr/;1
11407956;literature;994;http://www.todayinliterature.com/;1
563397;articles;992;http://www.greenhybrid.com/;1
3329895;energy;979;http://www.we-energies.com/;1
71845;forestry;970;http://www.forestry.gov.uk/;1
1220932;fishing;964;http://www.noreast.com/;1
975975;toys,toys;950;http://www.babeland.com/;2
6227961;toys;950;http://www.babeland.com/;1
617954;security;941;http://www.premiersecurityinc.com/;1
1337364;home,jobs;926;http://www.idealist.org/;2
4057426;dogs;926;http://www.showdog.com/;1
9561262;phone;909;http://www.numberway.com/;1
204649;merchandise;903;http://www.rockmerch.com/;1
222558;home,construction;863;http://www.hcag.org/;2
1440994;official,website;853;http://www.pseg.com/;2
7051923;living;836;http://www.uslivingwillregistry.com/;1
3212124;wedding;816;http://www.weddingmanor.com/;1
1265139;photos;798;http://www.photo.net/;1
3836136;printing;775;http://www.printing.com/;1
4946700;colorado;774;http://www.doc.state.co.us/;1
11756176;business,world;770;http://www.businessworldindia.com/;2
668127;photo;745;http://www.photofriday.com/;1
6465418;missouri;711;http://www.mhdc.com/;1
823374;arizona;704;http://www.gameandfishmag.com/;1
2426213;dance;700;http://www.dancesafe.org/;1
1653599;rock;693;http://www.hardradio.com/;1
18409944;north,west;674;http://www.nwa.com/;2
7618880;museum;666;http://www.museumca.org/;1
325414;windows;665;http://www.efficientwindows.org/;1
9136666;computer,software;659;http://www.compinfo-center.com/;2
6560263;internet,news;649;http://www.internet.com/;2
137248;animals;646;http://www.animalsvoice.com/;1
1751231;columbia;645;http://www.columbia.com/;1
5188995;racing;612;http://www.racingpost.co.uk/;1
7224475;independent;589;http://www.independent.co.uk/;1
137248;art,gallery;578;http://artscenecal.com/;2
11666230;south,carolina;576;http://www.museum.state.sc.us/;2
6033853;graphics;568;http://www.mentor.com/;1
3056792;welcome;563;http://www.harvard.edu/;1
2049390;home,organization;545;http://www.onlineorganizing.com/;2
1886642;italy;542;http://www.eurovacations.com/;1
12112769;email;542;http://www.wilsonweb.com/;1
1283292;relationships;529;http://www.mypleasure.com/;1
9000089;zealand;522;http://www.nzherald.co.nz/;1
3139155;louisiana;512;http://www.latech.edu/;1
95516;london,england;502;http://www.camvista.com/;2
7283196;guns;496;http://www.winterwar.com/;1
4296658;web,science;492;http://www.studyweb.com/;2
344653;networking;487;http://www.windowsnetworking.com/;1
23998170;motels;478;http://www.yosemite-motels.com/;1
12420;gardening;477;http://www.garden.org/;1
7397925;online,games;469;http://www.flyordie.com/;2
6769438;pictures;464;http://www.got2haveit.com/;1
3240099;nonprofit;461;http://www.idealist.org/;1
12984159;credit;458;http://www.ncua.gov/;1
3062952;study;458;http://www.studyweb.com/;1
4192633;sex;444;http://www.springerlink.com/;1
11159872;communities;439;http://www.communities.com/;1
17642465;web,marketing;438;http://www.wilsonweb.com/;2
3522945;cards,cards;436;http://www.hallmark.com/;2
237053;cards;436;http://www.hallmark.com/;1
7528238;dog;431;http://www.showdog.com/;1
15931651;news,articles;429;http://www.ninds.nih.gov/;2
5593026;fort;424;http://www.the-fort.com/;1
7646192;scuba;420;http://www.scubadu.com/;1
4579360;hobbies;418;http://www.a2zhobbies.com/;1
10931296;rock,music;415;http://www.hardradio.com/;2
137248;paper;402;http://www.sgi.com/;1
5670282;internet,marketing;401;http://www.wilsonweb.com/;2
5892724;united,commerce;401;http://www.unitedcommercebank.com/;2
5302940;weddings;395;http://www.siliconglen.com/;1
7599245;online,books;390;http://www.nap.edu/;2
12243;books,online;390;http://www.nap.edu/;2
6510751;boats;382;http://www.wellcraft.com/;1
1704663;writers;379;http://www.writersmarket.com/;1
1341758;technologies;374;http://www.forensics-intl.com/;1
19877858;french;369;http://www.frenchtutorial.com/;1
8239402;san,francisco;368;http://www.ncsfreedom.org/;2
20492454;online,computer;363;http://www.pcpitstop.com/;2
2728224;italia;361;http://www.italiamia.com/;1
5109821;painting;359;http://artscenecal.com/;1
8621994;islands;359;http://www.faroeislands.com/;1
5937568;noticias;358;http://www.sapo.pt/;1
8770043;creative;353;http://www.pixmania.co.uk/;1
5096802;shelters;348;http://www.arcat.com/;1
2765680;communication;347;http://www.avaya.com/;1
3465771;banks;341;http://www.bankspower.com/;1
8736386;safari;339;http://www.wildlifesafari.org/;1
1147160;computer,free;333;http://www.pcpitstop.com/;2
23731739;international,directory;327;http://www.numberway.com/;2
7038945;drugs;326;http://www.druginfonet.com/;1
591932;vegas;325;http://www.luxor.com/;1
1057372;nonprofit,organizations;319;http://www.idealist.org/;2
20886483;poetry;317;http://www.findpoetry.com/;1
13083586;music,radio;313;http://www.shoutcast.com/;2
1473164;women's,clothing;304;http://www.sierratradingpost.com/;2
16914953;idaho;304;http://www.idahostatesman.com/;1
2047478;home,business,sales;300;http://www.mypreciouskid.com/;3
8161098;publishers;298;http://www.infinitypublishing.com/;1
1704048;hobby;296;http://www.hobbyworks.com/;1
4952807;school,districts;293;http://www.cde.state.co.us/;2
17399802;home,theater;291;http://www.htmarket.com/;2
11244222;careers;291;http://www.kids.gov/;1
7266214;check;285;http://www.pcpitstop.com/;1
696334;coast,coast;284;http://www.route50.com/;2
4257748;law,enforcement;280;http://www.policeemployment.com/;2
2745361;weather;279;http://www.theweathernetwork.com/;1
2319424;organic;275;http://www.ota.com/;1
812291;apple;274;http://www.crazyapplerumors.com/;1
14378795;construction,equipment;273;http://www.constructionequipmentguide.com/;2
994753;free,music;268;http://www.emp3world.com/;2
5377396;cleaning;267;http://www.answerbag.com/;1
3717968;exercise;265;http://www.weightlossforall.com/;1
1983278;e-commerce;265;http://www.wilsonweb.com/;1
2797847;chat;263;http://www.volano.com/;1
56440;chinese;260;http://www.wku.edu/;1
5641890;rescue;255;http://www.ci.rosenberg.tx.us/;1
1595197;work,home,directory;254;http://www.mypreciouskid.com/;3
5524317;israel;253;http://www.israel-music.com/;1
1083173;uk,news;251;http://www.sky.com/;2
2028664;craft;250;http://www.wellcraft.com/;1
2944233;neurological;250;http://www.ninds.nih.gov/;1
4314204;free,games;248;http://www.bingo.com/;2
16885472;garden,design;248;http://www.taoherbfarm.com/;2
193326;channel;248;http://www.kmov.com/;1
5559158;neurological,disorders;247;http://www.ninds.nih.gov/;2
8858688;card;246;http://www.hallmark.com/;1
8471162;neurological,diseases;245;http://www.ninds.nih.gov/;2
811082;camera;244;http://www.photo.net/;1
258919;las,vegas;243;http://www.photo.net/;2
1202851;google;241;http://www.eff.org/;1
812291;translation;237;http://www.proz.com/;1
8398276;wedding,photography;235;http://www.willamettephoto.com/;2
12478133;metals;234;http://www.asminternational.org/;1
2407645;century;232;http://www.centurytheatres.com/;1
2814918;men;231;http://www.comics2film.com/;1
870645;fundraising;227;http://www.idealist.org/;1
6389863;kids,website;226;http://www.our-kids.org/;2
7244133;kids,science;225;http://www.kids.gov/;2
11241797;dentistry;219;http://www.tambcd.edu/;1
2453002;trains;218;http://www.modelrectifier.com/;1
1248525;amateur;215;http://www.arrl.org/;1
492777;jobs,education;214;http://www.jobsineducation.com/;2
801928;html;214;http://www.echoecho.com/;1
71845;room;214;http://www.herroom.com/;1
6416328;bags;209;http://www.t-bags.com/;1
7297330;gold;208;http://www.museumca.org/;1
18236844;networking,home,computers;207;http://www.windowsnetworking.com/;3
3131463;master;207;http://www.mastercard.com/;1
16952012;celebrity;206;http://www.vanishingtattoo.com/;1
4638302;items;202;http://www.got2haveit.com/;1
5060970;stocks;201;http://www.winninginvesting.com/;1
6779166;bbc;199;http://www.bbctraining.com/;1
6742613;cool,links;198;http://www.vanishingtattoo.com/;2
14742818;reproductive;198;http://www.healthsquare.com/;1
8780029;credit,unions;196;http://www.ncua.gov/;2
99894;shipping;196;http://www.carmoves.com/;1
3467784;casting;194;http://www.castingyou.com/;1
5219284;cruises;193;http://www.rssc.com/;1
4260858;flowers;190;http://www.hallmark.com/;1
6102453;freedom;189;http://www.nationalreview.com/;1
1514618;injury;186;http://www.brianmac.demon.co.uk/;1
18139898;music,download;185;http://www.emp3world.com/;2
5109821;gallery,photo;183;http://www.photo.net/;2
479503;windows,technology;183;http://www.internet.com/;2
6952218;heritage;183;http://www.rigzone.com/;1
1727389;web,radio;181;http://www.shoutcast.com/;2
1248447;cartoons;181;http://www.apocalypsecartoons.com/;1
6689709;satellite;181;http://www.dishnetwork.com/;1
10187437;phoenix;180;http://www.hipaadvisory.com/;1
14669003;nebraska;178;http://www.statefair.org/;1
110702;japan;178;http://www.lhup.edu/;1
1357775;delaware;176;http://www.delaware.gov/;1
6131499;costa,rica;175;http://www.photo.net/;2
14520729;cameras;172;http://www.photo.net/;1
5139713;survival;171;http://www.survival-international.org/;1
17443104;business,cards;170;http://www.printingforless.com/;2
1508248;business,cards;170;http://www.iprint.com/;2
3082484;california,usa;169;http://artscenecal.com/;2
1888115;channel,news;169;http://www.kutv.com/;2
8561113;news,channel;169;http://www.wktv.com/;2
23125612;science,math;169;http://www.kids.gov/;2
17443104;brooklyn;168;http://www.brooklynpapers.com/;1
8113154;sports,clothing;165;http://www.gizmos-uk.com/;2
5321022;porn;165;http://www.8trackheaven.com/;1
101676;work,products;163;http://www.arcat.com/;2
3175805;fun,stuff;161;http://www.kids.gov/;2
2276322;skin,care;161;http://www.smartskincare.com/;2
9170579;free,software,downloads;159;http://www.download3000.com/;3
3546604;heating;158;http://www.carrier.com/;1
14130179;baptist,religion;157;http://www.answerbag.com/;2
3488602;cape;157;http://www.capemaychamber.com/;1
